entity,sentiment,crisis_name,mentions_per_article,raw_count,outlet
Zelensky,neutral,Ukraine,0.164785553,73,BBC
Zelensky,negative,Ukraine,0.0090293454,4,BBC
Netanyahu,neutral,Gaza and the Occupied Palestinian Territories,0.2439903846,203,BBC
Netanyahu,negative,Gaza and the Occupied Palestinian Territories,0.0769230769,64,BBC
Netanyahu,positive,Gaza and the Occupied Palestinian Territories,0.0252403846,21,BBC
Hamas,negative,Gaza and the Occupied Palestinian Territories,0.6129807692,510,BBC
Hamas,neutral,Gaza and the Occupied Palestinian Territories,0.1502403846,125,BBC
Hamas,positive,Gaza and the Occupied Palestinian Territories,0.0072115385,6,BBC
Putin,negative,Ukraine,0.4277938827,7231,All Outlets
Putin,neutral,Ukraine,0.0895698988,1514,All Outlets
Putin,positive,Ukraine,0.00431876,73,All Outlets
Zelensky,positive,Ukraine,0.2397799207,4053,All Outlets
Zelensky,neutral,Ukraine,0.1100396379,1860,All Outlets
Zelensky,negative,Ukraine,0.0084008756,142,All Outlets
Netanyahu,neutral,Gaza and the Occupied Palestinian Territories,0.2082432373,4719,All Outlets
Netanyahu,negative,Gaza and the Occupied Palestinian Territories,0.0947001456,2146,All Outlets
Netanyahu,positive,Gaza and the Occupied Palestinian Territories,0.0206963506,469,All Outlets
Hamas,negative,Gaza and the Occupied Palestinian Territories,0.5849697719,13256,All Outlets
Hamas,neutral,Gaza and the Occupied Palestinian Territories,0.11460218,2597,All Outlets
Hamas,positive,Gaza and the Occupied Palestinian Territories,0.004810026,109,All Outlets
