crisis_name,framing,raw_count,article_count,mentions_per_article,outlet
Gaza and the Occupied Palestinian Territories,geopolitical,4799,22564,0.2126839213,All Outlets
Gaza and the Occupied Palestinian Territories,humanitarian,9052,22564,0.4011700053,All Outlets
Gaza and the Occupied Palestinian Territories,legal,604,22564,0.0267683035,All Outlets
Gaza and the Occupied Palestinian Territories,military,5728,22564,0.2538556993,All Outlets
Gaza and the Occupied Palestinian Territories,other,2051,22564,0.0908970041,All Outlets
Ukraine,economic,653,16888,0.0386665088,All Outlets
Ukraine,geopolitical,5482,16888,0.32460919,All Outlets
Ukraine,humanitarian,4045,16888,0.2395191852,All Outlets
Ukraine,legal,255,16888,0.0150994789,All Outlets
Ukraine,military,5519,16888,0.3268000947,All Outlets
Ukraine,other,934,16888,0.0553055424,All Outlets
